16920,17056,5.8194e-18,0.003753
26329,26834,2.3059e-22,0.008581
20857,20598,2.1093e-20,0.008597
12503,11892,6.2795e-16,0.015217
13246,12639,1.9969e-21,0.020749
12215,11936,1.1810e-17,0.042742
14850,15446,8.0826e-15,0.043464
30822,30704,1.7986e-12,0.052773
1826,1967,8.8100e-18,0.069943
10103,9976,1.9219e-12,0.070538
9348,9544,4.5401e-15,0.071512
10463,10736,5.0581e-18,0.081950
19212,19474,2.1988e-17,0.092478
8773,8578,4.9354e-16,0.117425
16301,16889,6.0511e-16,0.122303
26476,26329,4.9299e-18,0.127282
12655,12518,1.1361e-16,0.130646
11215,11808,2.7600e-16,0.137699
30579,30704,2.4950e-13,0.157903
767,902,1.7139e-19,0.159516
16920,902,5.8194e-18,0.003753
19212,16920,2.1988e-17,0.092478
